[*] Loaded model from /home/huaze/ME_MF_MARL/MFRL-tf/data/models/mfac/5-predator/ac_999
[*] Loaded model from /home/huaze/ME_MF_MARL/MFRL-tf/data/models/mfac/4-prey/ac_999


[*] ROUND #0, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 94.0}
> step #100, info: {'kill': 163.0}

[INFO] {'predator': {'mean_reward': 54.333333333333336}, 'prey': {'mean_reward': -210.8636601121854}}


[*] ROUND #1, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 95.0}
> step #100, info: {'kill': 185.0}

[INFO] {'predator': {'mean_reward': 61.666666666666664}, 'prey': {'mean_reward': -224.42001612147018}}


[*] ROUND #2, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 194.0}
> step #100, info: {'kill': 258.0}

[INFO] {'predator': {'mean_reward': 86.0}, 'prey': {'mean_reward': -287.59876566384486}}


[*] ROUND #3, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 171.0}
> step #100, info: {'kill': 342.0}

[INFO] {'predator': {'mean_reward': 114.0}, 'prey': {'mean_reward': -344.6923297154044}}


[*] ROUND #4, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 223.0}
> step #100, info: {'kill': 565.0}

[INFO] {'predator': {'mean_reward': 188.33333333333334}, 'prey': {'mean_reward': -578.3714516853224}}


[*] ROUND #5, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 378.0}
> step #100, info: {'kill': 849.0}

[INFO] {'predator': {'mean_reward': 283.0}, 'prey': {'mean_reward': -850.825884360316}}


[*] ROUND #6, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 102.0}
> step #100, info: {'kill': 260.0}

[INFO] {'predator': {'mean_reward': 86.66666666666667}, 'prey': {'mean_reward': -260.29958680562794}}


[*] ROUND #7, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 205.0}
> step #100, info: {'kill': 463.0}

[INFO] {'predator': {'mean_reward': 154.33333333333334}, 'prey': {'mean_reward': -465.9498573434383}}


[*] ROUND #8, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 180.0}
> step #100, info: {'kill': 305.0}

[INFO] {'predator': {'mean_reward': 101.66666666666667}, 'prey': {'mean_reward': -334.010400547041}}


[*] ROUND #9, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 162.0}
> step #100, info: {'kill': 255.0}

[INFO] {'predator': {'mean_reward': 85.0}, 'prey': {'mean_reward': -405.18174076445666}}


[*] ROUND #10, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 268.0}
> step #100, info: {'kill': 491.0}

[INFO] {'predator': {'mean_reward': 163.66666666666666}, 'prey': {'mean_reward': -492.0977143236607}}


[*] ROUND #11, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 255.0}
> step #100, info: {'kill': 586.0}

[INFO] {'predator': {'mean_reward': 195.33333333333334}, 'prey': {'mean_reward': -602.8930822792628}}


[*] ROUND #12, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 177.0}
> step #100, info: {'kill': 256.0}

[INFO] {'predator': {'mean_reward': 85.33333333333333}, 'prey': {'mean_reward': -347.915050348935}}


[*] ROUND #13, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 337.0}
> step #100, info: {'kill': 732.0}

[INFO] {'predator': {'mean_reward': 244.0}, 'prey': {'mean_reward': -738.7115298427}}


[*] ROUND #14, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 140.0}
> step #100, info: {'kill': 286.0}

[INFO] {'predator': {'mean_reward': 95.33333333333333}, 'prey': {'mean_reward': -302.9918426135143}}


[*] ROUND #15, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 186.0}
> step #100, info: {'kill': 373.0}

[INFO] {'predator': {'mean_reward': 124.33333333333333}, 'prey': {'mean_reward': -379.9472633108188}}


[*] ROUND #16, EPS: 0.00 NUMBER: 30
> step #50, info: {'kill': 340.0}
